Período;Convocatoria;Regional;Distrito;Nivel/Modalidad;Código de Centro;Nombre de Centro;Español;Matemáticas;Sociales;Naturales;Cantidad de estudiantes;Cantidad Femenino;Cantidad masculino;Cantidad Promovidos;Cantidad Aplazados
2016;1;01;0101;BASICA ADULTOS FORMAL;16000221;HERNANDO GORJON;16.53;16.88;15.68;16.27;41;25;16;39;2
2016;1;01;0101;BASICA ADULTOS FORMAL;16002524;GASTON FERNANDO DELIGNE;16.65;16.83;16.39;16.33;18;13;5;16;2
2016;1;01;0102;BASICA ADULTOS FORMAL;4010128;ISMAEL MIRANDA;14.13;16.46;15.33;16.23;40;29;11;28;12
2016;1;01;0102;BASICA ADULTOS FORMAL;4015029;MENCIA;16.74;17.51;15.25;17.38;66;35;31;60;6
2016;1;01;0103;BASICA ADULTOS FORMAL;4000122;BAITOITA;14.67;13.65;14.45;16.95;56;33;23;47;9
2016;1;01;0103;BASICA ADULTOS FORMAL;4000637;LIRIOS, LOS;15.69;19.63;19.52;23.43;63;24;39;55;8
2016;1;01;0103;BASICA ADULTOS FORMAL;4000934;SANTO DOMINGO SAVIO;15.83;17.48;16.79;19.31;29;12;17;27;2
2016;1;01;0103;BASICA ADULTOS FORMAL;4001523;PARROQUIAL CRISTO REY;15.75;16.05;16.55;17.57;62;27;35;51;11
2016;1;01;0103;BASICA ADULTOS FORMAL;4001744;CENAPEC - BARAHONA;15;20;23;21;1;1;0;1;0
2016;1;01;0103;BASICA ADULTOS FORMAL;4003325;LEONOR FELTZ;15.22;15.7;18.26;18.38;71;33;38;61;10
2016;1;01;0103;BASICA ADULTOS FORMAL;4004411;PERPETUO SOCORRO;17.23;15.96;18.16;20.22;51;24;27;45;6
2016;1;01;0103;BASICA ADULTOS FORMAL;4005335;TANQUE, EL;19.05;20.35;20.81;21.9;21;9;12;20;1
2016;1;01;0103;BASICA ADULTOS FORMAL;4026945;PROF. LEA MANUELA MORETA - LA CIENAGA;17.83;18;20.58;19.11;19;13;6;18;1
2016;1;01;0103;BASICA ADULTOS FORMAL;4030030;COPA;18.82;21;23.36;22;11;1;10;11;0
2016;1;01;0104;BASICA ADULTOS FORMAL;4007627;CATALINA POU;15.33;13.48;15;17.6;42;22;20;29;13
2016;1;01;0104;BASICA ADULTOS FORMAL;4014128;SALINAS, LAS;14.75;20.25;19.64;15.83;12;4;8;8;4
2016;1;01;0104;BASICA ADULTOS FORMAL;4021427;FONDO, EL;18.04;23.83;21.38;22.13;24;16;8;24;0
2016;1;01;0105;BASICA ADULTOS FORMAL;4021743;ALTAGRACIA HENRIQUEZ PERDOMO;17.15;16.46;16.49;18.17;52;25;27;38;14
2016;1;01;0105;BASICA ADULTOS FORMAL;4022841;ALTAGRACIA CASANDRA DAMIRON SANTANA - FONDO NEGRO;16.26;17.48;15.83;16.66;35;14;21;20;15
2016;1;01;0105;BASICA ADULTOS FORMAL;4034522;COPA BOMBITA;15.16;14.45;14.7;15.7;47;22;25;38;9
2016;1;02;0201;BASICA ADULTOS FORMAL;7000613;JUAN PABLO DUARTE;14.92;14.82;14.79;15.21;82;37;45;66;16
2016;1;02;0201;BASICA ADULTOS FORMAL;7006613;JOSE JOAQUIN PUELLO;14.5;15.09;14.33;15;12;5;7;9;3
2016;1;02;0202;BASICA ADULTOS FORMAL;7005341;FRANCISCO SERGIO CASTILLO;14;15;17.5;16.5;2;1;1;2;0
2016;1;02;0203;BASICA ADULTOS FORMAL;22026717;DAMIAN DAVID ORTIZ;16.93;16.19;16.39;16.2;62;29;33;54;8
2016;1;02;0203;BASICA ADULTOS FORMAL;22027212;SERGIA MARIA MATEO MORETA;17.06;15.55;17.38;15.59;34;17;17;29;5
2016;1;02;0203;BASICA ADULTOS FORMAL;22054313;RADIO SANTA MARIA - LAS MATAS DE FARFAN;13.26;14.17;14.36;14.02;46;23;23;32;14
2016;1;02;0204;BASICA ADULTOS FORMAL;22020428;CAONABO;14;15.58;15.63;17.05;19;11;8;18;1
2016;1;02;0204;BASICA ADULTOS FORMAL;22020928;GUAMA, LA;13.77;14.69;16.62;19.23;13;10;3;13;0
2016;1;02;0205;BASICA ADULTOS FORMAL;22001814;MERCEDES CONSUELO MATOS;16.56;15.37;16.17;16;67;34;33;56;11
2016;1;02;0205;BASICA ADULTOS FORMAL;22015848;ENERIO MATEO MESA - EL ROSARIO;19.04;18.31;18.9;19.31;29;17;12;28;1
2016;1;02;0205;BASICA ADULTOS FORMAL;22018620;CATALINA SANCHEZ;17.5;16.75;18.25;20;4;4;0;3;1
2016;1;02;0205;BASICA ADULTOS FORMAL;22035721;ANACAONA;16.47;17.73;17.08;18.78;37;20;17;33;4
2016;1;02;0205;BASICA ADULTOS FORMAL;22043018;SECTOR SURESTE;16.79;16.33;16.53;16.67;15;12;3;12;3
2016;1;02;0205;BASICA ADULTOS FORMAL;22054412;RADIO SANTA MARIA - VALLEJUELO;16.43;16.98;16.66;18.38;52;29;23;42;10
2016;1;02;0206;BASICA ADULTOS FORMAL;22001314;HIGUERITO;17.3;17.35;16.73;18.27;45;19;26;41;4
2016;1;02;0206;BASICA ADULTOS FORMAL;22003418;ENRIQUILLO;17.2;17.2;18.2;19.5;10;6;4;10;0
2016;1;02;0206;BASICA ADULTOS FORMAL;22003625;PROF. JUANA MARIA VARGAS - LAS CABIRMA;16.41;17.17;15.67;16.27;46;24;22;39;7
2016;1;02;0206;BASICA ADULTOS FORMAL;22006822;DANNIFICADOS, LOS;14.92;15.68;15.04;16.18;28;16;12;22;6
2016;1;02;0206;BASICA ADULTOS FORMAL;22008954;CORBANO, EL;16.36;16.1;16.53;17.1;41;21;20;37;4
2016;1;02;0206;BASICA ADULTOS FORMAL;22013346;RADIO SANTA MARIA - HIGUERITO;14.72;18.02;17.32;17.55;47;25;22;46;1
